,Year,HDI,Climate,Health,Intersection
1,2011,HIGH HUMAN DEVELOPMENT,0.66,0.74,0.25
6,2012,HIGH HUMAN DEVELOPMENT,0.58,0.7,0.21
11,2013,HIGH HUMAN DEVELOPMENT,0.57,0.79,0.22
16,2014,HIGH HUMAN DEVELOPMENT,0.52,0.76,0.18
21,2015,HIGH HUMAN DEVELOPMENT,0.53,0.78,0.16
26,2016,HIGH HUMAN DEVELOPMENT,0.5,0.7,0.19
31,2017,HIGH HUMAN DEVELOPMENT,0.54,0.74,0.21
36,2018,HIGH HUMAN DEVELOPMENT,0.55,0.7,0.19
41,2019,HIGH HUMAN DEVELOPMENT,0.54,0.75,0.24
46,2020,HIGH HUMAN DEVELOPMENT,0.59,0.77,0.29
51,2021,HIGH HUMAN DEVELOPMENT,0.61,0.77,0.37
2,2011,LOW HUMAN DEVELOPMENT,0.56,0.78,0.22
7,2012,LOW HUMAN DEVELOPMENT,0.38,0.77,0.08
12,2013,LOW HUMAN DEVELOPMENT,0.17,0.71,0.0
17,2014,LOW HUMAN DEVELOPMENT,0.2,0.64,0.0
22,2015,LOW HUMAN DEVELOPMENT,0.46,0.79,0.12
27,2016,LOW HUMAN DEVELOPMENT,0.36,0.68,0.11
32,2017,LOW HUMAN DEVELOPMENT,0.31,0.76,0.1
37,2018,LOW HUMAN DEVELOPMENT,0.45,0.79,0.14
42,2019,LOW HUMAN DEVELOPMENT,0.46,0.79,0.15
47,2020,LOW HUMAN DEVELOPMENT,0.47,0.63,0.16
52,2021,LOW HUMAN DEVELOPMENT,0.49,0.7,0.14
3,2011,MEDIUM HUMAN DEVELOPMENT,0.56,0.8,0.2
8,2012,MEDIUM HUMAN DEVELOPMENT,0.53,0.86,0.19
13,2013,MEDIUM HUMAN DEVELOPMENT,0.5,0.82,0.13
18,2014,MEDIUM HUMAN DEVELOPMENT,0.51,0.8,0.11
23,2015,MEDIUM HUMAN DEVELOPMENT,0.47,0.8,0.14
28,2016,MEDIUM HUMAN DEVELOPMENT,0.52,0.81,0.15
33,2017,MEDIUM HUMAN DEVELOPMENT,0.52,0.81,0.14
38,2018,MEDIUM HUMAN DEVELOPMENT,0.52,0.84,0.15
43,2019,MEDIUM HUMAN DEVELOPMENT,0.55,0.84,0.2
48,2020,MEDIUM HUMAN DEVELOPMENT,0.54,0.84,0.2
53,2021,MEDIUM HUMAN DEVELOPMENT,0.59,0.87,0.29
4,2011,VERY HIGH HUMAN DEVELOPMENT,0.74,0.84,0.26
9,2012,VERY HIGH HUMAN DEVELOPMENT,0.71,0.83,0.22
14,2013,VERY HIGH HUMAN DEVELOPMENT,0.66,0.81,0.2
19,2014,VERY HIGH HUMAN DEVELOPMENT,0.66,0.8,0.21
24,2015,VERY HIGH HUMAN DEVELOPMENT,0.66,0.81,0.22
29,2016,VERY HIGH HUMAN DEVELOPMENT,0.64,0.8,0.22
34,2017,VERY HIGH HUMAN DEVELOPMENT,0.68,0.8,0.24
39,2018,VERY HIGH HUMAN DEVELOPMENT,0.69,0.82,0.27
44,2019,VERY HIGH HUMAN DEVELOPMENT,0.71,0.84,0.28
49,2020,VERY HIGH HUMAN DEVELOPMENT,0.77,0.86,0.39
54,2021,VERY HIGH HUMAN DEVELOPMENT,0.78,0.86,0.48
